"Delivery times","Lieferzeit"
"Default map","Standardkarte"
"IGN France API key","IGN Frankreich API key"
"Hide and clear configuration","Konfiguration ausblenden und löschen"
"Pick up delivery","An einen Abholort liefern"
"Stop to first match","Stopp bei der ersten gefundenen Match"
"Do not offer this shipping method if one of the following shipping methods is available","Diese Versandart nicht anbieten, wenn eine der folgenden Versandmethoden verfügbar ist"
"User Name / Company Name","Benutzername / <span lang=""en"">Company name</span>"
"Password / Web service key","Passwort / <span lang=""en"">Web service key</span>"
"Home delivery","Hauslieferung"
"Other shipping methods","Andere Versandmethoden"
"Last pick up stations file update on the <em>%s</em> (cron job #<a %s>%d</a>).","Letzte Aktualisierung der Verteilerpunkt-Dateien am <em>%s</em> (Kron-Task Nummer <a %s>%d</a>)."
"No cron jobs successfully finished for the pick up stations file update.","Keine Cron-Aufgaben zum Aktualisieren von Verteilerpunkt-Dateien erfolgreich abgeschlossen."
"Show map","Karte anzeigen"
"Go to the pick up station","Zum Verteilerpunkt gehen"
"%d days","%d Tage"
"%d day","%d Tag"
"%d/%d days","%d bis %d Werktage"
"Estimated delivery: %s","Voraussichtliche Lieferung: %s"
"Estimated delivery: from %s to %s","Voraussichtliche Lieferung: %s bis %s"
"%s: closed","%s: geschlossen"
"Please enter your postal code and city.","Bitte Postleitzahl und Stadt eingeben."
"Shipped At","Versandt am"
"Choose this location","Diesen Ort auswählen"
"There are no results.","Keine Ergebnisse gefunden."
"your postal code:","deine Postleitzahl:"
"your city:","dein Wohnort:"
"your country:","dein Land:"
"Show all","Alles anzeigen"
"Choose my delivery location","Meinen Lieferort auswählen"
