"Tracking URL","Ссылка отслеживания"
"Auto-escaping","Без коррекции"
"Auto-correction","Автокоррекция"
"Stop to first match","Остановиться на первом найденном соответствии"
"Weight unit","Мера веса"
"Bundle Product Management","Управление пакетами продуктов"
"Item processing","Обработка продуктов"
"Item options on","Опции продукта"
"Item data on","Данные товара"
"Product data on","Данные о продукте"
"Configurable Product Management","Управление настраиваемыми продуктами"
"track the package","отслеживать посылку"
"Self","Себя"
"Parent","Родитель"
"Children","Ребенок"
